Player,span,matches,innings,not outs,runs,highscore,average,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes
Babar Azam (PAK),2021-2021,6,6,1,303,70,60.60,240,126.25,-,4,-,28,5
DA Warner (AUS),2021-2021,7,7,1,289,89*,48.16,197,146.70,-,3,-,32,10
Mohammad Rizwan (PAK),2021-2021,6,6,2,281,79*,70.25,220,127.72,-,3,-,23,12
JC Buttler (ENG),2021-2021,6,6,3,269,101*,89.66,178,151.12,1,1,-,22,13
KIC Asalanka (SL),2021-2021,6,6,1,231,80*,46.20,157,147.13,-,2,-,23,9
D Wiese (NAM),2021-2021,8,8,3,227,66*,45.40,178,127.52,-,1,-,13,11
P Nissanka (SL),2021-2021,8,8,0,221,72,27.62,188,117.55,-,3,1,19,5
KS Williamson (NZ),2021-2021,7,7,2,216,85,43.20,187,115.50,-,1,1,20,5
MJ Guptill (NZ),2021-2021,7,7,0,208,93,29.71,172,120.93,-,1,-,21,8
DJ Mitchell (NZ),2021-2021,7,7,1,208,72*,34.66,148,140.54,-,1,-,15,10
KL Rahul (IND),2021-2021,5,5,1,194,69,48.50,127,152.75,-,3,-,19,7
MR Marsh (AUS),2021-2021,6,5,2,185,77*,61.66,126,146.82,-,2,-,17,8
HE van der Dussen (SA),2021-2021,5,5,2,177,94*,59.00,152,116.44,-,1,-,10,6
RD Berrington (SCOT),2021-2021,8,8,2,177,70,29.50,138,128.26,-,2,3,12,8
RG Sharma (IND),2021-2021,5,5,0,174,74,34.79,115,151.30,-,2,1,21,7
Mohammad Naim (BAN),2021-2021,7,7,0,174,64,24.85,157,110.82,-,2,1,15,4
Najibullah Zadran (AFG),2021-2021,5,5,0,172,73,34.40,127,135.43,-,2,-,15,8
Mahmudullah (BAN),2021-2021,8,8,2,169,50,28.16,140,120.71,-,1,-,12,6
AK Markram (SA),2021-2021,5,5,2,162,52*,54.00,111,145.94,-,2,1,9,9
PBB Rajapaksa (SL),2021-2021,8,6,2,155,53,38.75,108,143.51,-,1,1,13,8
HG Munsey (SCOT),2021-2021,8,8,0,152,29,19.00,139,109.35,-,-,1,18,7
MG Erasmus (NAM),2021-2021,8,8,1,151,53*,21.57,144,104.86,-,1,-,12,3
Mushfiqur Rahim (BAN),2021-2021,8,8,1,144,57*,20.57,127,113.38,-,1,1,11,4
AJ Finch (AUS),2021-2021,7,7,0,135,44,19.28,116,116.37,-,-,2,13,6
MH Cross (SCOT),2021-2021,8,8,1,135,45,19.28,168,80.35,-,-,1,9,2
Litton Das (BAN),2021-2021,8,8,0,133,44,16.62,141,94.32,-,-,1,10,1
Shakib Al Hasan (BAN),2021-2021,6,6,0,131,46,21.83,120,109.16,-,-,-,10,3
MA Leask (SCOT),2021-2021,8,7,1,130,44,21.66,84,154.76,-,-,2,11,7
DP Conway (NZ),2021-2021,6,6,2,129,46,32.25,119,108.40,-,-,-,13,1
Mohammad Nabi (AFG),2021-2021,5,5,3,127,35*,63.50,105,120.95,-,-,-,14,2
SO Hetmyer (WI),2021-2021,5,5,1,127,81*,31.75,100,127.00,-,1,-,13,4
MP O'Dowd (NED),2021-2021,3,3,0,123,70,41.00,106,116.03,-,2,-,13,1
JJ Roy (ENG),2021-2021,5,5,1,123,61,30.75,89,138.20,-,1,-,11,5
MDKJ Perera (SL),2021-2021,8,8,1,123,35,17.57,101,121.78,-,-,1,15,2
PWH de Silva (SL),2021-2021,8,5,0,119,71,23.80,80,148.75,-,1,-,15,2
CG Williams (NAM),2021-2021,8,8,0,119,40,14.87,140,85.00,-,-,2,9,4
DJ Malan (ENG),2021-2021,6,5,1,116,41,29.00,97,119.58,-,-,-,12,2
Jatinder Singh (OMA),2021-2021,3,3,1,113,73*,56.50,76,148.68,-,1,1,11,5
Fakhar Zaman (PAK),2021-2021,6,5,1,109,55*,27.25,92,118.47,-,1,-,5,6
E Lewis (WI),2021-2021,5,5,0,105,56,21.00,81,129.62,-,1,-,11,7
GD Phillips (NZ),2021-2021,7,5,1,105,39*,26.25,94,111.70,-,-,-,3,5
N Pooran (WI),2021-2021,5,5,0,103,46,20.60,76,135.52,-,-,-,10,5
Shoaib Malik (PAK),2021-2021,6,4,2,100,54*,50.00,55,181.81,-,1,-,4,8
SJ Baard (NAM),2021-2021,5,5,0,97,29,19.39,103,94.17,-,-,-,8,2
CN Greaves (SCOT),2021-2021,8,7,1,97,45,16.16,104,93.26,-,-,-,7,2
MD Shanaka (SL),2021-2021,8,6,3,96,26,32.00,82,117.07,-,-,-,9,3
Aqib Ilyas (OMA),2021-2021,3,3,1,93,50*,46.50,84,110.71,-,1,-,9,3
MM Ali (ENG),2021-2021,6,4,2,92,51*,46.00,70,131.42,-,1,-,6,4
Hazratullah Zazai (AFG),2021-2021,5,5,0,92,44,18.39,81,113.58,-,-,1,8,6
T Bavuma (SA),2021-2021,5,4,1,91,46,30.33,84,108.33,-,-,-,6,2
KA Pollard (WI),2021-2021,5,5,1,90,44,22.50,84,107.14,-,-,1,6,3
JDS Neesham (NZ),2021-2021,7,5,3,86,35*,43.00,49,175.51,-,-,-,3,6
Mohammad Hafeez (PAK),2021-2021,6,5,2,85,32*,28.33,52,163.46,-,-,-,10,2
Rahmanullah Gurbaz (AFG),2021-2021,5,5,0,85,46,17.00,71,119.71,-,-,-,3,7
KJ Coetzer (SCOT),2021-2021,7,7,0,84,41,12.00,82,102.43,-,-,1,10,3
A Vala (PNG),2021-2021,3,3,0,80,56,26.66,63,126.98,-,1,-,8,3
MP Stoinis (AUS),2021-2021,7,4,3,80,40*,80.00,58,137.93,-,-,1,7,3
ZE Green (NAM),2021-2021,8,7,0,80,24,11.42,105,76.19,-,-,1,6,1
Mohammad Shahzad (AFG),2021-2021,5,5,0,79,45,15.80,72,109.72,-,-,1,7,3
RR Pant (IND),2021-2021,5,3,1,78,39,39.00,62,125.80,-,-,-,3,5
JJ Smit (NAM),2021-2021,8,7,4,78,32*,26.00,80,97.50,-,-,1,6,2
PR Stirling (IRE),2021-2021,3,3,1,75,38,37.50,70,107.14,-,-,-,7,2
MS Wade (AUS),2021-2021,7,3,2,74,41*,74.00,45,164.44,-,-,-,6,4
M van Lingen (NAM),2021-2021,7,5,0,72,25,14.40,74,97.29,-,-,-,7,2
A Balbirnie (IRE),2021-2021,3,3,0,70,41,23.33,73,95.89,-,-,-,6,2
HH Pandya (IND),2021-2021,5,3,1,69,35*,34.50,45,153.33,-,-,-,7,2
SPD Smith (AUS),2021-2021,7,4,1,69,35,23.00,71,97.18,-,-,-,5,0
