Player,span,matches,innings,balls,overs,maidens,runs,wickets,BBI,BBM,average,economy,strike rate,four wicket haul,fifer,bowling-style
PWH de Silva (SL),2021-2021,8,8,180,30,-,156,16,9-Mar,9-Mar,9.75,5.2,11.25,-,-,Right-arm leg-spin
A Zampa (AUS),2021-2021,7,7,162,27,-,157,13,19-May,19-May,12.07,5.81,12.46,-,1,Right-arm leg-spin
TA Boult (NZ),2021-2021,7,7,166,27.4,-,173,13,17-Mar,17-Mar,13.3,6.25,12.76,-,-,Left-arm fast
Shakib Al Hasan (BAN),2021-2021,6,6,132,22,-,123,11,9-Apr,9-Apr,11.18,5.59,12,1,-,Left-arm orthodox
JR Hazlewood (AUS),2021-2021,7,7,144,24,1,175,11,Apr-39,Apr-39,15.9,7.29,13.09,1,-,Right-arm fast-medium
D Pretorius (SA),2021-2021,5,5,88,14.4,-,101,9,17-Mar,17-Mar,11.22,6.88,9.77,-,-,Right-arm fast-medium
A Nortje (SA),2021-2021,5,5,116,19.2,-,104,9,8-Mar,8-Mar,11.55,5.37,12.88,-,-,Right-arm fast
JH Davey (SCOT),2021-2021,5,5,105,17.3,-,123,9,18-Apr,18-Apr,13.66,7.02,11.66,1,-,Right-arm fast-medium
Shadab Khan (PAK),2021-2021,6,6,138,23,-,138,9,26-Apr,26-Apr,15.33,6,15.33,1,-,Right-arm leg-spin
AU Rashid (ENG),2021-2021,6,6,134,22.2,-,146,9,2-Apr,2-Apr,16.22,6.53,14.88,1,-,Right-arm leg-spin
JN Frylinck (NAM),2021-2021,7,7,135,22.3,-,168,9,21-Mar,21-Mar,18.66,7.46,15,-,-,Right-arm fast-medium
IS Sodhi (NZ),2021-2021,7,7,144,24,-,194,9,17-Feb,17-Feb,21.55,8.08,16,-,-,Right-arm leg-spin
MA Starc (AUS),2021-2021,7,7,162,27,-,248,9,21-Feb,21-Feb,27.55,9.18,18,-,-,Right-arm fast-medium
Rashid Khan (AFG),2021-2021,5,5,110,18.2,-,112,8,9-Apr,9-Apr,14,6.1,13.75,1,-,Right-arm leg-spin
T Shamsi (SA),2021-2021,5,5,114,19,-,121,8,17-Mar,17-Mar,15.12,6.36,14.25,-,-,left wrist-spin
M Theekshana (SL),2021-2021,7,7,150,25,-,137,8,17-Mar,17-Mar,17.12,5.48,18.75,-,-,Off-spin
Mahedi Hasan (BAN),2021-2021,8,7,147,24.3,-,150,8,19-Mar,19-Mar,18.75,6.12,18.37,-,-,Right-arm leg-spin
K Rabada (SA),2021-2021,5,5,114,19,-,155,8,20-Mar,20-Mar,19.37,8.15,14.25,-,-,Right-arm fast
Haris Rauf (PAK),2021-2021,6,6,138,23,-,168,8,22-Apr,22-Apr,21,7.3,17.25,1,-,Right-arm fast
TG Southee (NZ),2021-2021,7,7,167,27.5,-,181,8,15-Feb,15-Feb,22.62,6.5,20.87,-,-,Right-arm fast-medium
SM Sharif (SCOT),2021-2021,7,7,139,23.1,-,188,8,25-Feb,25-Feb,23.5,8.11,17.37,-,-,Right-arm fast-medium
CBRLS Kumara (SL),2021-2021,7,7,152,25.2,1,194,8,7-Mar,7-Mar,24.25,7.65,19,-,-,Right-arm fast
Mustafizur Rahman (BAN),2021-2021,7,7,144,24,1,222,8,Apr-36,Apr-36,27.75,9.25,18,1,-,Left-arm medium-fast
BTJ Wheal (SCOT),2021-2021,8,8,162,27,-,237,8,24-Mar,24-Mar,29.62,8.77,20.25,-,-,Left-arm fast-medium
