Player,span,matches,innings,balls,overs,maidens,runs,wickets,BBI,BBM,average,economy,strike rate,four wicket haul,fifer
PWH de Silva (SL),2022-2022,8,8,186,31.0,1,199,15,3/8,3/8,13.26,6.41,12.40,-,-
SM Curran (ENG),2022-2022,6,6,136,22.4,-,148,13,5/10,5/10,11.38,6.52,10.46,-,1
BFW de Leede (NED),2022-2022,8,7,132,22.0,-,169,13,3/19,3/19,13.00,7.68,10.15,-,-
B Muzarabani (ZIM),2022-2022,8,7,156,26.0,-,199,12,3/23,3/23,16.57,7.65,13.00,-,-
A Nortje (SA),2022-2022,5,5,105,17.3,-,94,11,4/10,4/10,8.53,5.37,9.54,2,-
Shaheen Shah Afridi (PAK),2022-2022,7,7,151,25.1,-,155,11,4/22,4/22,14.09,6.15,13.72,1,-
Shadab Khan (PAK),2022-2022,7,7,156,26.0,-,165,11,3/22,3/22,15.00,6.34,14.18,-,-
JB Little (IRE),2022-2022,7,7,162,27.0,-,189,11,3/22,3/22,17.18,7.00,14.72,-,-
PA van Meekeren (NED),2022-2022,8,8,186,31.0,-,198,11,3/29,3/29,18.00,6.38,16.90,-,-
Arshdeep Singh (IND),2022-2022,6,6,120,20.0,-,156,10,3/32,3/32,15.60,7.80,12.00,-,-
Sikandar Raza (ZIM),2022-2022,8,8,144,24.0,-,156,10,3/19,3/19,15.60,6.50,14.40,-,-
MA Wood (ENG),2022-2022,4,4,84,14.0,-,108,9,3/26,3/26,12.00,7.71,9.33,-,-
MJ Santner (NZ),2022-2022,5,5,120,20.0,-,129,9,3/31,3/31,14.33,6.45,13.33,-,-
R Ngarava (ZIM),2022-2022,8,8,168,28.0,1,197,9,2/18,2/18,21.88,7.03,18.66,-,-
M Theekshana (SL),2022-2022,8,8,181,30.1,-,202,9,2/15,2/15,22.44,6.69,20.11,-,-
Mohammad Wasim (PAK),2022-2022,6,6,102,17.0,-,124,8,4/24,4/24,15.50,7.29,12.75,1,-
Taskin Ahmed (BAN),2022-2022,5,5,108,18.0,1,131,8,4/25,4/25,16.37,7.27,13.50,1,-
HH Pandya (IND),2022-2022,6,6,108,18.0,-,146,8,3/30,3/30,18.25,8.11,13.50,-,-
TA Boult (NZ),2022-2022,5,5,120,20.0,-,148,8,4/13,4/13,18.50,7.40,15.00,1,-
Haris Rauf (PAK),2022-2022,7,7,156,26.0,1,178,8,2/23,2/23,22.25,6.84,19.50,-,-
FJ Klaassen (NED),2022-2022,8,8,180,30.0,-,191,8,2/13,2/13,23.87,6.36,22.50,-,-
BD Glover (NED),2022-2022,3,3,53,8.5,1,60,7,3/9,3/9,8.57,6.79,7.57,-,-
TG Southee (NZ),2022-2022,5,5,104,17.2,1,114,7,3/6,3/6,16.28,6.57,14.85,-,-
L Ngidi (SA),2022-2022,4,4,78,13.0,-,116,7,4/29,4/29,16.57,8.92,11.14,1,-
