Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Oman,P.N.G.,Oman,10 wickets,Al Amerat,"Oct 17, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-papua-new-guinea-1st-match-first-round-group-b-1273712/full-scorecard
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,"Oct 17, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-scotland-2nd-match-first-round-group-b-1273713/full-scorecard
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,"Oct 18, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/ireland-vs-netherlands-3rd-match-first-round-group-a-1273714/full-scorecard
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,"Oct 18, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/namibia-vs-sri-lanka-4th-match-first-round-group-a-1273715/full-scorecard
P.N.G.,Scotland,Scotland,17 runs,Al Amerat,"Oct 19, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/papua-new-guinea-vs-scotland-5th-match-first-round-group-b-1273716/full-scorecard
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,"Oct 19, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-bangladesh-6th-match-first-round-group-b-1273717/full-scorecard
Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,"Oct 20, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/namibia-vs-netherlands-7th-match-first-round-group-a-1273718/full-scorecard
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,"Oct 20, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/ireland-vs-sri-lanka-8th-match-first-round-group-a-1273719/full-scorecard
Bangladesh,P.N.G.,Bangladesh,84 runs,Al Amerat,"Oct 21, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-papua-new-guinea-9th-match-first-round-group-b-1273720/full-scorecard
Oman,Scotland,Scotland,8 wickets,Al Amerat,"Oct 21, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-scotland-10th-match-first-round-group-b-1273721/full-scorecard
