Player,span_x,matches_x,innings_x,not outs,runs_x,highscore,average_x,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes,span_y,matches_y,innings_y,balls,overs,maidens,runs_y,wickets,BBI,BBM,average_y,economy,strike rate,four wicket haul,fifer,bowling-style,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings,,position
Babar Azam (PAK),2021-2021,6,6,1,303,70,60.6,240,126.25,-,4,-,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
DA Warner (AUS),2021-2021,7,7,1,289,89*,48.16,197,146.7,-,3,-,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mohammad Rizwan (PAK),2021-2021,6,6,2,281,79*,70.25,220,127.72,-,3,-,23,12,,,,,,,,,,,,,,,,,2021-2021,6,6,4,4,-,2 (2ct 0st),0.666,,2
JC Buttler (ENG),2021-2021,6,6,3,269,101*,89.66,178,151.12,1,1,-,22,13,,,,,,,,,,,,,,,,,2021-2021,6,6,5,4,1,2 (2ct 0st),0.833,,2
KIC Asalanka (SL),2021-2021,6,6,1,231,80*,46.2,157,147.13,-,2,-,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,3
D Wiese (NAM),2021-2021,8,8,3,227,66*,45.4,178,127.52,-,1,-,13,11,2021-2021,8,8,168,28,-,208,6,22-Feb,22-Feb,34.65,7.42,28,-,-,Right-arm medium,,,,,,,,,,6
P Nissanka (SL),2021-2021,8,8,0,221,72,27.62,188,117.55,-,3,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,3
KS Williamson (NZ),2021-2021,7,7,2,216,85,43.2,187,115.5,-,1,1,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,3
MJ Guptill (NZ),2021-2021,7,7,0,208,93,29.71,172,120.93,-,1,-,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,1
DJ Mitchell (NZ),2021-2021,7,7,1,208,72*,34.66,148,140.54,-,1,-,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,4
KL Rahul (IND),2021-2021,5,5,1,194,69,48.5,127,152.75,-,3,-,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,2
MR Marsh (AUS),2021-2021,6,5,2,185,77*,61.66,126,146.82,-,2,-,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,4
HE van der Dussen (SA),2021-2021,5,5,2,177,94*,59,152,116.44,-,1,-,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,4
RD Berrington (SCOT),2021-2021,8,8,2,177,70,29.5,138,128.26,-,2,3,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,3
RG Sharma (IND),2021-2021,5,5,0,174,74,34.79,115,151.3,-,2,1,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mohammad Naim (BAN),2021-2021,7,7,0,174,64,24.85,157,110.82,-,2,1,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,2
Najibullah Zadran (AFG),2021-2021,5,5,0,172,73,34.4,127,135.43,-,2,-,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mahmudullah (BAN),2021-2021,8,8,2,169,50,28.16,140,120.71,-,1,-,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,5
AK Markram (SA),2021-2021,5,5,2,162,52*,54,111,145.94,-,2,1,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,4
PBB Rajapaksa (SL),2021-2021,8,6,2,155,53,38.75,108,143.51,-,1,1,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,5
HG Munsey (SCOT),2021-2021,8,8,0,152,29,19,139,109.35,-,-,1,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,4
MG Erasmus (NAM),2021-2021,8,8,1,151,53*,21.57,144,104.86,-,1,-,12,3,2021-2021,8,3,36,6,-,34,1,22-Jan,22-Jan,34,5.66,36,-,-,Right-arm off-spin,,,,,,,,,,4
Mushfiqur Rahim (BAN),2021-2021,8,8,1,144,57*,20.57,127,113.38,-,1,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,6
AJ Finch (AUS),2021-2021,7,7,0,135,44,19.28,116,116.37,-,-,2,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,2
